"Term"	"Terim"
"Widget"	"Parçacık"
"Width"	"Genişlik"
"Window"	"Pencere"
"Window Manager"	"Pencere yöneticisi"
"Word"	"Kelime"
"Work"	"Çalışmak"
"Workbook"	"Çalışma kitabı"
"working directory"	"çalışma dizini"
"Workspaces"	"Çalışma alanları"
"Wrap"	"Sarmallama"
"wrap"	"sarmala"
"Write"	"Yazmak"
"WVLAN"	"WVLAN"
"X Align"	"X Hizalama"
"XDMCP socket"	"XDMCP soketi"
"XML"	"XML"
"zero"	"sıfır"
"Zigzagline"	"Kırık çizgi"
"Zip Drive"	"Zip sürücü"
"Zoom"	"Büyütme, yaklaştırma"
