abandon	terketmek, bırakıp kaçmak
aside	kenara, yana, oyuncunun sahnede kendi kendine veya seyircilere söylediği sözler
ask	sormak, istemek
askance	hoşlanmaksızın beğenmeyerek bakmak, göz ucuyla yan yan bakmak
asleep	uykuda, uyumakta, uyuşmuş, hissizleşmiş
asparagus	kuşkonmaz
aspect	görünüş, manzara, cephe, düşüncelerin vbçeşitli yönlerinden yalnız bir tanesi
asphalt	asfalt
asphyxiate	boğmak
asphyxiation	oksijen yokluğundan boğulma
aspirate	h harfinin sesini çıkarma veya bu harfin kendisi
aspire	kazanmayı çok istemek, can atmak
aspiration	şiddetli istek, arzu, özlem
ass	eşek, merkep, ahmak, aptal, budala, kıç, popo
assassinate	suikastte bulunmak, öldürmek
assassination	suikast, cinayet
assassin	suikastçı, kiralık katil
assault	saldırmak, tecavüz etmek
assemble	toplamak, monte etmek, parçaları yerli yerine takmak
aseembly	bir amaçla bir araya gelen topluluk, bir çok parçaların bir araya gelip oluşturduğu şey, parçaları bir araya getirme, montaj
assembly line	montaj hattı
assent	kabul etmek, olur demek
assert	kesinlikle söylemek, hak iddia etmek
assertion	kesinlikle belirtme
assess	bir malın mülkün değerini hesaplamak
assessment	değerlendirme
assessor	vergi memuru veya sigorta eksperi
asset	değerli bir nitelik, kişinin sahip olduğu mal, mal mülk
assiduous	sürekli çalışan ve ayrıntılara önem veren, gayretli, dikkatli
assign	pay veya görev olarak vermek, atamak
assignment	atama, okul ödevi
assimilate	sindirmek, hazmetmek, kendine mal etmek, kavrayıp anlamak
assimilation	özümleme, benzeşme
assist	yardım etmek
assistance	yardım
assistant	asistan, yardımcı
assizes	gezici mahkeme duruşmaları
associate	iş arkadaşı, meslekdaş, ortak
association	ortaklık, aralarında ilişki kurma, çağrışım, dernek, cemiyet, birlik
assortment	ayrı ayrı şeylerden oluşan karışım
assorted	çeşitli, türlü türlü, karışık
assume	farzetmek, varsaymak, yüklenmek, üzerine almak
assumption	farz, üstlenme
assumed	sahte
assure	söz vermek, vaad etmek, garanti etmek, hayatını sigorta ettirmek
assurance	güvence, teminat, söz, vaat, kendine güven, sigorta
asterisk	yıldız işareti
astern	geminin arka tarafında, kıçında
asteroid	asteroid, küçük gezegen
asthma	nefes darlığı, astım
astonish	şaşırtmak, affallatmak
astonishing	şaşırtıcı
astonishment	şaşkınlık, hayret
astound	hayretler içinde bırakmak, feleğini şaşırtmak
astounding	şaşırtıcı, hayretler verici
astray	yoldan sapmış, yolunu şaşırmış
astride	ata binermiş gibi bacakları ayrık
astrology	astroloji, yıldız falcılığı
astrologer	müneccim
astonaut	astronot, uzay adamı
astronomy	gökbilim, astronomi
astronomer	gökbilimci
astronomical	gökbilim ile ilgili, çok büyük, inanılmaz derecede
astute	zeki, akıllı, cin fikirli
asylum	akıl hastanesi, sığınılacak yer, sığınak, barınak
